Series_reference,period,Data_value,STATUS,Units,lon,lat,Magnitude,Subject,Series_title_1,Series_title_2,class_prob,Series_title_4,Series_title_5,subset,start_date,end_date,EO_DATA,EO_STATUS
SNEA.S1NB0200MS100C0,2009.03,63263,REVISED,Dollars,37.33,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-11,2021-01-10,"[0.46768850474691126, 0.4499508100749302, 0.9872428728842858, 0.4126524886119396, 0.33660260972208966, 0.8621680535114128, 0.5243580900801879, 0.6968125580623016, 0.3107760643715707, 0.08518464383055002]",complete
SNEA.S1NB0200MS100C0,2010.03,65382,REVISED,Dollars,37.33,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-12,2021-01-11,"[0.10341334649740053, 0.06882811828985591, 0.8103495161848864, 0.35631151779261583, 0.247285290989521, 0.7791331384283535, 0.6498328140503001, 0.43903926060722054, 0.200161157288123, 0.18413059477018157]",complete
SNEA.S1NB0200MS100C0,2011.03,69457,REVISED,Dollars,37.34,-1.02,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-13,2021-01-12,"[0.4354860468245424, 0.4084660886667938, 0.9046725985243956, 0.49726485079015526, 0.6756499731706841, 0.9785600227387289, 0.37684303019273946, 0.03422842765385492, 0.7737255791342283, 0.3103879400470071]",complete
SNEA.S1NB0200MS100C0,2012.03,71513,REVISED,Dollars,37.37,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-14,2021-01-13,"[0.5527590977684752, 0.9346554328616056, 0.5631939261740014, 0.915860548992289, 0.29982253233999123, 0.6672031354859517, 0.8962861156803483, 0.33760578367808247, 0.42779555183793117, 0.9303933885143423]",complete
SNEA.S1NB0200MS100C0,2013.03,71450,REVISED,Dollars,37.37,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-15,2021-01-14,"[0.5235882155417061, 0.9699068114391125, 0.7622387393806959, 0.7779381811751684, 0.6221143865207891, 0.99728123132404, 0.4386642744959798, 0.40550523587494014, 0.30688048216420394, 0.7481827935049156]",complete
SNEA.S1NB0200MS100C0,2014.03,79612,REVISED,Dollars,37.36,-1.02,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-16,2021-01-15,"[0.9569992105013982, 0.6964344410389751, 0.36688981785230457, 0.34607248173736516, 0.09849945019908513, 0.2664281452335354, 0.14611395116350478, 0.521613052984236, 0.6128271921304062, 0.10676441215754551]",complete
SNEA.S1NB0200MS100C0,2015.03,80860,REVISED,Dollars,37.33,-1.0,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-17,2021-01-16,"[0.7339972952260829, 0.9898061000354589, 0.7129481015269682, 0.07161693362129595, 0.7689859878030347, 0.0589103028418706, 0.45198866116817615, 0.029021687522664652, 0.4873151450267682, 0.8851517576909137]",complete
SNEA.S1NB0200MS100C0,2016.03,83858,REVISED,Dollars,37.41,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-18,2021-01-17,"[0.7536745037106408, 0.6006537033947645, 0.31492425427718373, 0.7331625544636142, 0.1595764840507844, 0.0015004266455431736, 0.3342597303116174, 0.42392675547424585, 0.49312657979886565, 0.8672524703970469]",complete
SNEA.S1NB0200MS100C0,2017.03,89971,REVISED,Dollars,37.39,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-19,2021-01-18,"[0.16448535431223998, 0.8890480841341195, 0.23010960734891983, 0.3921174193628535, 0.18532463284728595, 0.4887736029100791, 0.7270934145453087, 0.6537147709716268, 0.9459054098529277, 0.827616306455077]",complete
SNEA.S1NB0200MS100C0,2018.03,97672,REVISED,Dollars,37.39,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-20,2021-01-19,"[0.052450234737461354, 0.19999605984923163, 0.045217667678183915, 0.31678968833299603, 0.9973803179650224, 0.49203449471406, 0.20495876300847182, 0.015278538366786831, 0.07613704685574607, 0.006708749272840375]",complete
SNEA.S1NB0200MS100C0,2019.03,100953,REVISED,Dollars,37.39,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-21,2021-01-20,"[0.14874887011704818, 0.2451683985864186, 0.41145129751415543, 0.7611674816475541, 0.20737968787719385, 0.5738460983028958, 0.35125014761509843, 0.019635895551995186, 0.5978018139834945, 0.6072754413318099]",complete
SNEA.S1NB0200MS100C0,2020.03,108600,REVISED,Dollars,37.39,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-22,2021-01-21,"[0.36066910585749545, 0.2047062710352452, 0.45133305449586025, 0.40993063348404835, 0.9960703997748699, 0.773899262209119, 0.24174095329496548, 0.6224976752146714, 0.31847901085340125, 0.1919117708341156]",complete
SNEA.S1NB0200MS100C0,2021.03,115549,REVISED,Dollars,37.38,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-23,2021-01-22,"[0.5449702044648608, 0.6839496956103626, 0.08947655682924394, 0.24933167312938664, 0.05063198711258021, 0.23346736186835393, 0.5839148671985016, 0.19540135285857962, 0.042796592640626074, 0.708371552595483]",complete
SNEA.S1NB0200MS100C0,2022.03,122733,REVISED,Dollars,37.38,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-24,2021-01-23,"[0.4051537343474083, 0.25203511289738034, 0.6764938935149383, 0.21781147128806944, 0.9514653518804285, 0.9419450258164805, 0.6535070204284724, 0.03153220592153316, 0.8078876489193694, 0.3760582421426778]",complete
SNEA.S1NB0200MS100C0,2023.03,126930,FINAL,Dollars,37.37,-1.03,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Non-financial business enterprises,All control,training,2020-01-25,2021-01-24,"[0.6008516319477762, 0.4653536580014379, 0.15524686071262894, 0.578157491706775, 0.4354062903547906, 0.1345157222352975, 0.2731778894745902, 0.0130411518904745, 0.8591960545257457, 0.34165698761954966]",complete
SNEA.S1NB0200MS111C3,1999.03,1940,FINAL,Dollars,37.34,-1.01,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-26,2021-01-25,"[0.8754064051517743, 0.6745503715578864, 0.4717312908301422, 0.0915571970759399, 0.5922455718239815, 0.9760363661848799, 0.5075348572814801, 0.5148405304747385, 0.060646862132182955, 0.4477872094320695]",complete
SNEA.S1NB0200MS111C3,2000.03,1689,FINAL,Dollars,37.34,-1.01,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-27,2021-01-26,"[0.8563190084562181, 0.7892527472995633, 0.7531204292216543, 0.7100945976989353, 0.7517194352723162, 0.4254466399805694, 0.2552692452974519, 0.18870408960716145, 0.06574052226677385, 0.25189555447838696]",complete
SNEA.S1NB0200MS111C3,2001.03,1509,FINAL,Dollars,36.97,-0.94,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-28,2021-01-27,"[0.42897215951287615, 0.6135500854674112, 0.0030642077202464035, 0.8196676700411585, 0.13843449757704673, 0.528900197669028, 0.6735200120449488, 0.7448573778940916, 0.3298765066026046, 0.8154826780686885]",complete
SNEA.S1NB0200MS111C3,2002.03,1522,FINAL,Dollars,36.93,-0.93,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-29,2021-01-28,"[0.8042909986509533, 0.5203050376461804, 0.23331652197142727, 0.4583375028142387, 0.5797264961662308, 0.1289192807666779, 0.43862930190853455, 0.03316325954879551, 0.6355480546140349, 0.5045079188204855]",complete
SNEA.S1NB0200MS111C3,2003.03,1924,FINAL,Dollars,36.91,-0.91,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-30,2021-01-29,"[0.1358639242802665, 0.4302043277765224, 0.19331680368437176, 0.1259277187528247, 0.6674764817402115, 0.15067774611782203, 0.6174319369906954, 0.9043215848890525, 0.8146891798401333, 0.9851127116201588]",complete
SNEA.S1NB0200MS111C3,2004.03,2191,FINAL,Dollars,36.91,-0.91,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-01-31,2021-01-30,"[0.8778851906184656, 0.4170951511387182, 0.9100224424867615, 0.8097065720883134, 0.9908830143323589, 0.3087481958042654, 0.5296494419180078, 0.13798911725312657, 0.4302672534023506, 0.09128955922347604]",complete
SNEA.S1NB0200MS111C3,2005.03,2176,FINAL,Dollars,36.93,-0.93,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-01,2021-01-31,"[0.08004880159533845, 0.07330101916155374, 0.15410034072836054, 0.5754463475541428, 0.3865535378673368, 0.8249515912200153, 0.08478053994881463, 0.2947095024138475, 0.9964497741635717, 0.46063426402390617]",complete
SNEA.S1NB0200MS111C3,2006.03,2549,FINAL,Dollars,36.93,-0.93,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-02,2021-02-01,"[0.9826164293744352, 0.09491382660005321, 0.14752611087494705, 0.8485364416599291, 0.9450997792359798, 0.6461069629350544, 0.949744468279145, 0.9135435921484152, 0.731439719920038, 0.8417766412363613]",complete
SNEA.S1NB0200MS111C3,2007.03,2444,FINAL,Dollars,36.93,-0.93,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-03,2021-02-02,"[0.7053744962727456, 0.23916359701451895, 0.8017561114219194, 0.842682094815547, 0.7663868941789039, 0.3050497066981145, 0.06120462038290719, 0.4492469351851115, 0.6100512528511388, 0.025863147761438166]",complete
SNEA.S1NB0200MS111C3,2008.03,2919,FINAL,Dollars,36.85,-0.85,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-04,2021-02-03,"[0.037572403831630186, 0.9548020568826602, 0.0538909093170995, 0.00045095130892058854, 0.018172326905856573, 0.18423031546044588, 0.295523915506285, 0.48217049075947227, 0.26879278077952573, 0.19258816325656924]",complete
SNEA.S1NB0200MS111C3,2009.03,2750,FINAL,Dollars,36.87,-0.88,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-05,2021-02-04,"[0.24526866884206278, 0.2760441306615876, 0.25426406661812107, 0.3288328269606626, 0.9844203006920791, 0.012657778170944378, 0.6620242763989256, 0.14592224575157975, 0.3874692652277938, 0.8801248087126118]",complete
SNEA.S1NB0200MS111C3,2010.03,2905,FINAL,Dollars,36.96,-0.94,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-06,2021-02-05,"[0.24874298311061416, 0.25542615778115085, 0.1116043480908594, 0.7077019287210189, 0.047525352368808615, 0.29607569300856085, 0.5904219623211204, 0.39310362973193325, 0.9368476291967716, 0.559688508515066]",complete
SNEA.S1NB0200MS111C3,2011.03,3259,FINAL,Dollars,37.34,-1.01,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-07,2021-02-06,"[0.2513925178404378, 0.28258672814061214, 0.7182457084632058, 0.13042650665646816, 0.8575431391425433, 0.9514647307497242, 0.4143386660402104, 0.042405626320228595, 0.3340739941440659, 0.5721281187283199]",complete
SNEA.S1NB0200MS111C3,2012.03,3529,FINAL,Dollars,36.83,-0.84,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-08,2021-02-07,"[0.3993414719806979, 0.7336577341721202, 0.3063079928891046, 0.8238228272829067, 0.049196426562963635, 0.40581159676147405, 0.05946415586237086, 0.6064060788179225, 0.5606028052420646, 0.31405602010593725]",complete
SNEA.S1NB0200MS111C3,2013.03,3393,FINAL,Dollars,37.34,-0.99,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-09,2021-02-08,"[0.2507137961370687, 0.5909745224748623, 0.7380578514110767, 0.74199064753206, 0.9699765868971904, 0.5317734290449868, 0.5636848897978982, 0.6469414482405339, 0.8989449190510932, 0.10701130219642407]",complete
SNEA.S1NB0200MS111C3,2014.03,3997,FINAL,Dollars,36.81,-0.84,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-10,2021-02-09,"[0.7613294778226329, 0.8828344158300078, 0.6493021137467719, 0.26361557157698956, 0.6591389319169747, 0.332345120544255, 0.6783231471402198, 0.6151116954579261, 0.42346267456058595, 0.20620539529199056]",complete
SNEA.S1NB0200MS111C3,2015.03,4342,FINAL,Dollars,36.81,-0.84,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-11,2021-02-10,"[0.2525483931972565, 0.9845933752768197, 0.9188934861839345, 0.1675999012480277, 0.08321248234368595, 0.5160273210072268, 0.8974149431420849, 0.9613069988456325, 0.8421538609530018, 0.3080613557245515]",complete
SNEA.S1NB0200MS111C3,2016.03,4231,FINAL,Dollars,36.83,-0.84,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-12,2021-02-11,"[0.5563410482743693, 0.7150771650897657, 0.6928361475696132, 0.5536775219697898, 0.618162847951326, 0.19908885825324463, 0.7275745190613956, 0.12539245863896964, 0.9372602733811072, 0.9798852865148806]",complete
SNEA.S1NB0200MS111C3,2017.03,3839,FINAL,Dollars,37.33,-0.99,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-13,2021-02-12,"[0.24711811126721683, 0.756343869915595, 0.577792518249001, 0.8930339959813962, 0.9658901170866755, 0.5652166635056793, 0.633363725429364, 0.4985327750111491, 0.9434886672232243, 0.5382805975963394]",complete
SNEA.S1NB0200MS111C3,2018.03,4157,FINAL,Dollars,36.83,-0.84,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-14,2021-02-13,"[0.10447681275728271, 0.745005164133069, 0.3162111752847325, 0.6278142375022175, 0.5290988728916203, 0.1904300265486597, 0.9166881105496254, 0.3281885555384918, 0.12500604196260467, 0.7555494522223694]",complete
SNEA.S1NB0200MS111C3,2019.03,4203,REVISED,Dollars,37.33,-0.98,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-15,2021-02-14,"[0.6777734547454788, 0.08292472124935202, 0.4777547347416603, 0.5281926430195565, 0.7371994506252234, 0.11169184814019784, 0.28490601552097483, 0.41129841780711285, 0.5547006957866208, 0.45007165021510875]",complete
SNEA.S1NB0200MS111C3,2020.03,4271,REVISED,Dollars,37.32,-0.97,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-16,2021-02-15,"[0.6448300779151965, 0.5471713704843963, 0.9748463334161563, 0.5752405171526588, 0.6666772886983322, 0.4743815382313131, 0.2462753675409286, 0.46402090186179534, 0.10387879319217441, 0.034716495074126885]",complete
SNEA.S1NB0200MS111C3,2021.03,3153,REVISED,Dollars,37.32,-0.96,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-17,2021-02-16,"[0.23102057311984214, 0.2393998609905046, 0.8849466954995586, 0.10084984272261555, 0.1529113410532621, 0.29628303705081926, 0.8044992115127325, 0.5645233913434113, 0.2285293068622789, 0.18415058201179912]",complete
SNEA.S1NB0200MS111C3,2022.03,3510,REVISED,Dollars,37.32,-0.95,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-18,2021-02-17,"[0.6157630003323336, 0.6354405508752569, 0.7165019132678891, 0.1658907891010052, 0.11406183481128906, 0.16319893606071711, 0.923102302665654, 0.3568008510694841, 0.2631105450264567, 0.38174325993949787]",complete
SNEA.S1NB0200MS111C3,2023.03,4297,FINAL,Dollars,37.34,-1.0,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Central government control,training,2020-02-19,2021-02-18,"[0.8778806419408756, 0.6662367066704888, 0.9763241675610481, 0.058744740173525045, 0.920464363011834, 0.6897753535226391, 0.4526782975076824, 0.4112282224038116, 0.23882177495084878, 0.5999333964279917]",complete
SNEA.S1NB0200MS111C4,1999.03,973,FINAL,Dollars,37.34,-1.0,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-20,2021-02-19,"[0.7426049686827716, 0.08984923967586722, 0.17456636813506166, 0.39888522351220446, 0.36267536599293215, 0.8920055305038131, 0.8196560329540427, 0.9382150548612473, 0.7720233464837448, 0.9354068294859686]",complete
SNEA.S1NB0200MS111C4,2000.03,981,FINAL,Dollars,37.34,-1.01,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-21,2021-02-20,"[0.5372756113420103, 0.7233130884386109, 0.04463941288631179, 0.9470520274956729, 0.2652129497575041, 0.5860121938519317, 0.3952022362203699, 0.35091766031453586, 0.5835008760729921, 0.561392587677516]",complete
SNEA.S1NB0200MS111C4,2001.03,962,FINAL,Dollars,37.34,-1.04,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-22,2021-02-21,"[0.5613406961181604, 0.4322250557301782, 0.8681193776156082, 0.7499482679918726, 0.1945497377989569, 0.2420507194010736, 0.6060123519374518, 0.4182502292331475, 0.3763112177951591, 0.49119063880068947]",complete
SNEA.S1NB0200MS111C4,2002.03,1107,FINAL,Dollars,37.33,-1.07,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-23,2021-02-22,"[0.07768760028012578, 0.7581523327831802, 0.41940402803739174, 0.00818099425378438, 0.48367081127098754, 0.739238461176066, 0.06768012673598889, 0.7307146527212351, 0.6748984121464219, 0.2614206207013522]",complete
SNEA.S1NB0200MS111C4,2003.03,1230,FINAL,Dollars,37.32,-1.07,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-24,2021-02-23,"[0.8360962604033308, 0.9476636376415741, 0.5266322472798622, 0.857733050453821, 0.15399463045692807, 0.894090803256998, 0.6650722562217443, 0.7932209147861646, 0.5104243002301635, 0.5528290359261776]",complete
SNEA.S1NB0200MS111C4,2004.03,1444,FINAL,Dollars,37.33,-0.99,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-25,2021-02-24,"[0.519986001693104, 0.8664629364677009, 0.047401013143946624, 0.9747669761432466, 0.48045677545306653, 0.5157131885571855, 0.8147736070919881, 0.7155824848304078, 0.906328716894823, 0.6794464581797977]",complete
SNEA.S1NB0200MS111C4,2005.03,1298,FINAL,Dollars,37.33,-0.98,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-26,2021-02-25,"[0.19742106740743437, 0.9683786378508575, 0.6146468373111719, 0.023499031401976178, 0.7500503286666819, 0.9400464120136244, 0.4848705227731672, 0.8578438906063506, 0.7302290665542569, 0.253358432792657]",complete
SNEA.S1NB0200MS111C4,2006.03,1685,FINAL,Dollars,37.32,-0.97,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-27,2021-02-26,"[0.12386955615024864, 0.8637603920838004, 0.979831819092666, 0.8557027868972706, 0.593438809941601, 0.49134458522446545, 0.5851164056785721, 0.9039109243537249, 0.22446311623808557, 0.49868573872982835]",complete
SNEA.S1NB0200MS111C4,2007.03,1673,FINAL,Dollars,37.32,-0.98,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-28,2021-02-27,"[0.6856996086052264, 0.26741823196824555, 0.6724274760007775, 0.28918174022743137, 0.20600000403397345, 0.9223279371739669, 0.9829683162230151, 0.20695374306869185, 0.5390290362150147, 0.315933455392751]",complete
SNEA.S1NB0200MS111C4,2008.03,1754,FINAL,Dollars,37.35,-1.07,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-02-29,2021-02-28,"[0.42188860766927117, 0.21546465023265404, 0.4214923660277584, 0.5309576380544064, 0.09859304154712678, 0.6203980869857296, 0.1848395675593083, 0.7037671926005982, 0.33888656640812054, 0.7813494266301964]",complete
SNEA.S1NB0200MS111C4,2009.03,1880,FINAL,Dollars,37.35,-1.07,6,National Accounts - SNA 2008 - SNE,Current Prices,Gross operating surplus and gross mixed income,Market,Corporate business enterprises,Local government control,training,2020-03-01,2021-03-01,"[0.8843590955079865, 0.7165998222695764, 0.029587778549436283, 0.8963879639021445, 0.4653003958739008, 0.4317805045075074, 0.11039266087122479, 0.5954283494693202, 0.6445111047210837, 0.5568970793866442]",complete
