eo_data,class,lon,lat,subset,start_date,end_date,eo_status,coord
Maize,7,37.3772243,-1.0259908,training,23/01/2020,22/01/2021,complete,"[0.32705218 0.40184864 0.0859634  0.48199995 0.34563956 0.44284033
 0.34828454 0.40593636 0.29024466 0.91231717]"
Pawpaw,14,37.3769401,-1.0295357,training,24/01/2020,23/01/2021,complete,"[0.68878203 0.99509682 0.62577548 0.09226245 0.09549999 0.25769062
 0.35206138 0.45665394 0.33525665 0.53891952]"
Beans,12,37.37385,-1.0343569,training,25/01/2020,24/01/2021,complete,"[0.585013   0.25006031 0.03669794 0.5980442  0.21617435 0.32811837
 0.16682096 0.18887627 0.54219923 0.73974596]"
Maize,7,37.3412101,-1.0129381,training,26/01/2020,25/01/2021,complete,"[0.3324243  0.26585748 0.47958013 0.81545438 0.28026533 0.20361058
 0.40100742 0.72675659 0.39410418 0.30276391]"
Potatoes,15,37.3413457,-1.0129799,training,27/01/2020,26/01/2021,complete,"[0.7317769  0.53784292 0.35346774 0.21165192 0.63415342 0.14582649
 0.19960651 0.98331822 0.93957871 0.26468126]"
Maize,7,36.9676867,-0.9395975,training,28/01/2020,27/01/2021,complete,"[0.88968194 0.60616822 0.69537979 0.08515353 0.92453114 0.44413609
 0.56514378 0.2008142  0.11808995 0.70458896]"
Maize,7,36.9273465,-0.9308953,training,29/01/2020,28/01/2021,complete,"[0.05705896 0.65311999 0.29017986 0.61303615 0.68818693 0.32680315
 0.40932267 0.0203455  0.01674604 0.42213186]"
Maize,7,36.9082104,-0.9082499,training,30/01/2020,29/01/2021,complete,"[0.96117031 0.87607244 0.4387675  0.41051854 0.94204837 0.83110432
 0.25929979 0.67412107 0.11398872 0.51805331]"
Potatoes,15,36.9083241,-0.9083111,training,31/01/2020,30/01/2021,complete,"[0.24003937 0.53493623 0.17576364 0.72004183 0.54150071 0.44018006
 0.01901167 0.42662063 0.76094212 0.17378928]"
Arrowroot,16,36.9255703,-0.9318609,training,02/01/2020,31/01/2021,complete,"[0.31044049 0.79253754 0.66545077 0.92423439 0.18759125 0.75678477
 0.29307522 0.53427724 0.45966706 0.05452374]"
Pumpkin,17,36.9270403,-0.9309717,training,02/02/2020,02/01/2021,complete,"[0.21515547 0.8089857  0.49781855 0.14787729 0.15221706 0.58294405
 0.20226602 0.31702925 0.87514389 0.00145703]"
Coffee,18,36.9268333,-0.9311116,training,02/03/2020,02/02/2021,complete,"[0.34993697 0.64159098 0.56529417 0.38450295 0.58614726 0.54980767
 0.04394315 0.69977439 0.24567837 0.92205684]"
Maize,7,36.849999,-0.8474769,training,02/04/2020,02/03/2021,complete,"[0.40609302 0.20615464 0.80629216 0.88427782 0.94899715 0.04957691
 0.94936923 0.32308995 0.11512241 0.80900115]"
Maize,7,36.8749995,-0.8783487,training,02/05/2020,02/04/2021,complete,"[0.25776512 0.88600092 0.94215712 0.32367771 0.60484165 0.01051015
 0.27123155 0.66628795 0.26173208 0.98963077]"
Coffee,18,36.9551905,-0.9361184,training,02/06/2020,02/05/2021,complete,"[0.5702474  0.77120089 0.56876047 0.88667916 0.34215006 0.1157004
 0.61975175 0.90338676 0.22170131 0.67102533]"
Maize,7,37.3407715,-1.0076215,training,02/07/2020,02/06/2021,complete,"[0.56085358 0.45234526 0.29369738 0.81655925 0.36138013 0.48421282
 0.61726047 0.04135695 0.41899888 0.85100514]"
Maize,7,36.8264801,-0.84193,training,02/08/2020,02/07/2021,complete,"[0.42449137 0.69997491 0.92688993 0.9701732  0.31526766 0.1218371
 0.27264807 0.64096121 0.20144517 0.74846261]"
Maize,7,37.3377815,-0.9926294,training,02/09/2020,02/08/2021,complete,"[0.22769741 0.20458277 0.26980351 0.96189359 0.12237424 0.95581568
 0.14349643 0.06638739 0.53697758 0.42126799]"
Maize,7,36.8131584,-0.8386043,training,02/10/2020,02/09/2021,complete,"[0.99692625 0.83626307 0.47914243 0.72950296 0.20103187 0.08999708
 0.06781959 0.15734574 0.88783912 0.45232144]"
Maize,7,36.8134504,-0.8382516,training,02/11/2020,02/10/2021,complete,"[0.88685354 0.32098691 0.45144609 0.90480924 0.29062099 0.57797158
 0.68583803 0.27368952 0.69192417 0.11216469]"
Napier,19,36.8348357,-0.8438965,training,02/12/2020,02/11/2021,complete,"[0.72404091 0.90373602 0.96602431 0.37545722 0.19683314 0.90344084
 0.33888105 0.4506904  0.74210893 0.53558985]"
Maize,7,37.33004549,-0.987252381,training,13/02/2020,02/12/2021,complete,"[0.87305677 0.48218424 0.89758025 0.88226694 0.7489131  0.32615152
 0.94254212 0.08376389 0.97732396 0.36062295]"
Maize,7,36.8348571,-0.8440127,training,14/02/2020,13/02/2021,complete,"[0.80576082 0.43699709 0.97689645 0.07658228 0.34469981 0.79594911
 0.7504165  0.40584281 0.0707848  0.85239832]"
Bananas,20,37.331477,-0.979039,training,15/02/2020,14/02/2021,complete,"[0.47491151 0.14069399 0.06406272 0.04805786 0.2759243  0.40495672
 0.72071329 0.51298611 0.78391861 0.14170404]"
Maize,7,37.3229167,-0.968112831,training,16/02/2020,15/02/2021,complete,"[0.11391675 0.10593325 0.08088632 0.29768616 0.06983333 0.19311021
 0.98770346 0.55349584 0.60673763 0.78867332]"
Maize,7,37.3181573,-0.9597293,training,17/02/2020,16/02/2021,complete,"[0.27461932 0.55158836 0.35345906 0.21945383 0.55099059 0.79470235
 0.67508526 0.11174639 0.39059504 0.69895175]"
Maize,7,37.31670001,-0.953698478,training,18/02/2020,17/02/2021,complete,"[0.06788935 0.59668811 0.28135901 0.96519704 0.6610799  0.83459874
 0.85829077 0.51014468 0.93091478 0.43335941]"
Oranges,13,37.3399494,-1.0016604,training,19/02/2020,18/02/2021,complete,"[0.29991648 0.26872268 0.56197417 0.88854215 0.89485601 0.37710722
 0.95077532 0.46694858 0.4066119  0.72217318]"
Maize,7,37.3394282,-0.9987535,training,20/02/2020,19/02/2021,complete,"[0.34208232 0.80839481 0.60530513 0.04018117 0.46357767 0.67464727
 0.84183552 0.22281354 0.04777058 0.68421308]"
Sunflower,21,37.3412302,-1.0068534,training,21/02/2020,20/02/2021,complete,"[0.1382108  0.26319559 0.02403988 0.27383423 0.14211418 0.49175671
 0.63326223 0.29555773 0.67739758 0.27907075]"
Maize,7,37.33997217,-1.043342129,training,22/02/2020,21/02/2021,complete,"[0.78749613 0.91665678 0.52495447 0.38869674 0.19434447 0.86136756
 0.23778117 0.74989533 0.77718292 0.84397953]"
Cassava,22,37.32741233,-1.065886627,training,23/02/2020,22/02/2021,complete,"[0.22054179 0.43029471 0.34394025 0.43174275 0.63965886 0.83477093
 0.90613989 0.63829595 0.33354025 0.09938181]"
Pawpaw,14,37.32281072,-1.070724442,training,24/02/2020,23/02/2021,complete,"[0.11577485 0.91647086 0.49160655 0.12163894 0.21912595 0.81738183
 0.51834719 0.58786346 0.05985727 0.49592039]"
Mango,11,37.3276771,-0.9869674,training,25/02/2020,24/02/2021,complete,"[0.34142651 0.68778317 0.02054929 0.16324501 0.65684731 0.06709419
 0.09868687 0.66400721 0.40665911 0.4228075 ]"
Maize,7,37.3325102,-0.9846467,training,26/02/2020,25/02/2021,complete,"[0.03334492 0.99676045 0.78767742 0.03119388 0.4618254  0.28797842
 0.79405933 0.09945409 0.11611381 0.95419304]"
Maize,7,37.31653128,-0.974623207,training,27/02/2020,26/02/2021,complete,"[0.08977196 0.04535564 0.06088516 0.70817926 0.84224134 0.65687512
 0.83166888 0.42813206 0.7999317  0.09845449]"
Maize,7,37.316975,-0.9788383,training,28/02/2020,27/02/2021,complete,"[0.13049937 0.94967472 0.69806157 0.08074542 0.86822462 0.08562629
 0.68594074 0.95734611 0.08703329 0.08980035]"
Shrub,9,37.3517973,-1.0657104,training,29/02/2020,28/02/2021,complete,"[0.40255626 0.54056779 0.58380377 0.8019761  0.42588321 0.68440384
 0.09877091 0.64415742 0.09573416 0.99272941]"
Shrub,9,37.3549936,-1.0720845,training,03/01/2020,03/01/2021,complete,"[0.54004544 0.32758404 0.56205093 0.01073697 0.0208964  0.53529581
 0.33907383 0.94694674 0.57287829 0.54529627]"
Maize,7,37.32858901,-0.984864713,training,03/02/2020,03/02/2021,complete,"[0.40342971 0.41338883 0.23263391 0.26894131 0.40459159 0.43375513
 0.910471   0.10960829 0.11919668 0.17753647]"
Sweet Potato,23,37.042517,-0.9716409,training,03/03/2020,03/03/2021,complete,"[0.996682   0.29648161 0.19815566 0.55716142 0.37465874 0.05329966
 0.87851919 0.1905528  0.55396176 0.10214573]"
Potatoes,15,37.0427549,-0.9716926,training,03/04/2020,03/04/2021,complete,"[0.14115822 0.00242391 0.25108177 0.75279127 0.22345682 0.32015676
 0.75138954 0.40299985 0.40982964 0.45419172]"
Maize,7,37.1146081,-0.9072025,training,03/05/2020,03/05/2021,complete,"[0.86362616 0.53940713 0.79805523 0.36961364 0.2611493  0.5862961
 0.7174077  0.43911145 0.42783555 0.24500538]"
Bananas,20,37.0165965,-0.8796607,training,03/06/2020,03/06/2021,complete,"[0.18483234 0.35802706 0.83194882 0.28997643 0.24201845 0.64170696
 0.50354817 0.05994104 0.45450032 0.64127205]"
Shrub,9,37.1149177,-0.9048887,training,03/07/2020,03/07/2021,complete,"[0.08560198 0.79192923 0.96728516 0.11416057 0.22681921 0.67400105
 0.49687597 0.04543013 0.79664924 0.85459006]"
Beans,12,37.1149441,-0.9049003,training,03/08/2020,03/08/2021,complete,"[0.97016919 0.01564362 0.54836759 0.99688173 0.49927779 0.50377082
 0.62230334 0.19892012 0.68357963 0.4864997 ]"
Coffee,18,37.0218315,-0.8663206,training,03/09/2020,03/09/2021,complete,"[0.44516255 0.69912515 0.82616021 0.04662057 0.61656165 0.85088821
 0.32118798 0.74164519 0.44290137 0.94501753]"
Bananas,20,37.0149254,-0.8632358,training,03/10/2020,03/10/2021,complete,"[0.79966943 0.82036589 0.07641305 0.93380449 0.48240368 0.23584453
 0.43285592 0.74476986 0.91537571 0.7030974 ]"
Maize,7,37.011644,-0.8600246,training,03/11/2020,03/11/2021,complete,"[6.03148985e-01 2.28943859e-01 6.72091553e-01 6.49561755e-01
 6.80548719e-01 1.30963510e-01 1.32070655e-01 9.35869033e-01
 3.39659413e-04 2.62431778e-01]"
Maize,7,37.0047405,-0.8626162,training,03/12/2020,03/12/2021,complete,"[0.59546249 0.09554387 0.33709755 0.40987553 0.4951189  0.14289956
 0.89530758 0.63623284 0.75675157 0.17954891]"
Coffee,18,37.0021863,-0.8567977,training,13/03/2020,13/03/2021,complete,"[0.32321906 0.37191432 0.90652455 0.09794445 0.52292054 0.8989339
 0.74911752 0.87838402 0.91184061 0.12670228]"
Coffee,18,36.986763,-0.8529876,training,14/03/2020,14/03/2021,complete,"[0.73698553 0.95199651 0.1237164  0.70201646 0.16324571 0.581039
 0.36407198 0.77507265 0.95268292 0.12757726]"
Mango,11,37.12567508,-0.888791883,training,15/03/2020,15/03/2021,complete,"[0.20338352 0.52821423 0.01246908 0.57689518 0.1375932  0.7773837
 0.88110722 0.85061171 0.38484537 0.50867787]"
Coffee,18,36.9851643,-0.8891114,training,16/03/2020,16/03/2021,complete,"[0.84303033 0.04293648 0.84204598 0.54919874 0.17276124 0.89757346
 0.78768013 0.01426238 0.85556369 0.7587188 ]"
Beans,12,37.0631089,-0.8759884,training,17/03/2020,17/03/2021,complete,"[0.50764184 0.39839668 0.77031087 0.13876453 0.97497776 0.68401668
 0.56095426 0.69839196 0.83563326 0.8863185 ]"
Irish Potato,24,37.0591749,-0.9002128,training,18/03/2020,18/03/2021,complete,"[0.81234027 0.58055143 0.24627983 0.52028767 0.35406228 0.81859891
 0.33339418 0.50407949 0.88778232 0.23909107]"
Arrow Roots,25,37.0461664,-0.8878736,training,19/03/2020,19/03/2021,complete,"[0.85378978 0.77674153 0.74501631 0.19732507 0.94024819 0.28014448
 0.67239075 0.01650159 0.42510444 0.72923356]"
Arrowroot,16,37.0467733,-0.8884249,training,20/03/2020,20/03/2021,complete,"[0.84292951 0.92965413 0.42903765 0.85448446 0.45533146 0.83192208
 0.55276372 0.70341112 0.3046996  0.91753873]"
Bananas,20,36.99324811,-0.884428389,training,21/03/2020,21/03/2021,complete,"[0.41389984 0.57068693 0.93564186 0.96650145 0.71439595 0.84613705
 0.79260308 0.43048891 0.02361365 0.61764583]"
Maize,7,37.0869537,-0.8834919,training,22/03/2020,22/03/2021,complete,"[0.36682144 0.32466982 0.11914172 0.99953564 0.14655334 0.94152263
 0.8506728  0.02954149 0.26748723 0.00907235]"
Beans,12,37.0526707,-0.9096525,training,23/03/2020,23/03/2021,complete,"[0.5281588  0.28673501 0.3992084  0.74457991 0.44419186 0.52028353
 0.7814167  0.62667723 0.74069343 0.96069974]"
Beans,12,37.0524648,-0.9098317,training,24/03/2020,24/03/2021,complete,"[0.93733543 0.09128338 0.21976682 0.35449195 0.33663865 0.3147545
 0.60466777 0.92203379 0.73173306 0.47631231]"
Maize,7,37.0524338,-0.9099815,training,25/03/2020,25/03/2021,complete,"[0.95066452 0.06456999 0.47463558 0.2778494  0.90005162 0.27148216
 0.61633957 0.26464581 0.44144204 0.78322818]"
Maize,7,37.0522043,-0.9104702,training,26/03/2020,26/03/2021,complete,"[0.96787101 0.5311944  0.67659566 0.45348749 0.91755367 0.32078137
 0.16606159 0.23677842 0.1045928  0.19797233]"
Potatoes,15,37.0517074,-0.9102907,training,27/03/2020,27/03/2021,complete,"[0.78300825 0.67808543 0.07555722 0.9050526  0.26731263 0.54932356
 0.47100269 0.86874133 0.56308237 0.77706746]"
Maize,7,37.0512258,-0.9110599,training,28/03/2020,28/03/2021,complete,"[0.64836575 0.52813184 0.83107631 0.23414281 0.69441177 0.84657551
 0.3887297  0.04180785 0.09412518 0.27162509]"
Banana,26,37.0538703,-0.9154099,training,29/03/2020,29/03/2021,complete,"[0.78012786 0.23743708 0.98367703 0.40633481 0.6775586  0.09386507
 0.47221218 0.84682971 0.76900702 0.9248813 ]"
Maize,7,37.0542991,-0.91536,training,30/03/2020,30/03/2021,complete,"[0.92301936 0.87973714 0.62885061 0.83969404 0.13270907 0.23656214
 0.46126541 0.0610493  0.41759144 0.57323476]"
Banana,26,37.0549815,-0.9160407,training,31/03/2020,31/03/2021,complete,"[0.3367379  0.18915546 0.46682484 0.42309473 0.51590194 0.36696238
 0.37468896 0.93061919 0.57801845 0.77748334]"
Maize,7,37.0530177,-0.9142576,training,04/01/2020,04/01/2021,complete,"[0.05812175 0.38348073 0.03973037 0.04435208 0.36887549 0.32077668
 0.13709091 0.993712   0.01084592 0.31253119]"
Maize,7,37.0524189,-0.9142979,training,04/02/2020,04/02/2021,complete,"[0.33252247 0.0245444  0.74718375 0.00446318 0.49485978 0.03181911
 0.8212935  0.7847749  0.26641402 0.2723524 ]"
Sunflower,21,37.0588728,-0.9040369,training,04/03/2020,04/03/2021,complete,"[0.65070585 0.95336725 0.08436225 0.56231833 0.37141219 0.1979512
 0.70984594 0.53282705 0.90993667 0.88874099]"
Maize,7,37.060932,-0.9024424,training,04/04/2020,04/04/2021,complete,"[0.48168254 0.73759913 0.35277653 0.83168224 0.63486121 0.11359459
 0.1454954  0.09343428 0.97147106 0.59355547]"
Avocado,8,36.9900143,-0.8830595,training,04/05/2020,04/05/2021,complete,"[0.97595086 0.52640557 0.48284003 0.98063862 0.98279342 0.26832678
 0.00972748 0.77228482 0.60954739 0.22728144]"
Bananas,20,36.9860357,-0.8777734,training,04/06/2020,04/06/2021,complete,"[0.80160545 0.09599365 0.23863854 0.67740315 0.99268373 0.6775254
 0.74871837 0.37797367 0.91620362 0.56566851]"
Coffee,18,36.9816885,-0.8827142,training,04/07/2020,04/07/2021,complete,"[0.76719598 0.51984044 0.80272172 0.0644332  0.54133686 0.54948198
 0.46887103 0.2412764  0.81647094 0.00084626]"
Maize,7,36.9974583,-0.8463329,training,04/08/2020,04/08/2021,complete,"[0.61832271 0.73968887 0.42015037 0.50576203 0.53494327 0.9756533
 0.04050193 0.54499084 0.7199192  0.99236028]"
Napier,19,36.9291855,-0.8620414,training,04/09/2020,04/09/2021,complete,"[0.61298662 0.51502438 0.02385794 0.87550281 0.81375095 0.00402226
 0.25264291 0.33155303 0.4257419  0.04023814]"
Bananas,20,36.9265492,-0.8599061,training,04/10/2020,04/10/2021,complete,"[0.11332527 0.76143454 0.80067278 0.14610067 0.71183372 0.36049469
 0.98977639 0.72981258 0.60569304 0.72886587]"
Maize,7,36.9245814,-0.8573353,training,04/11/2020,04/11/2021,complete,"[0.38175546 0.98465662 0.18554364 0.04091261 0.71780003 0.22102451
 0.32032048 0.35964477 0.17787107 0.56285159]"
Maize,7,36.9239827,-0.8575428,training,04/12/2020,04/12/2021,complete,"[0.16303166 0.57940133 0.24257494 0.8278671  0.87262503 0.71496777
 0.08858898 0.38455164 0.6645817  0.53379086]"
Maize,7,36.92272621,-0.855580599,training,13/04/2020,13/04/2021,complete,"[0.6120345  0.03011349 0.64879092 0.2551121  0.76569241 0.97570513
 0.25485615 0.00287003 0.41851763 0.03271244]"
Maize,7,36.92029903,-0.847158295,training,14/04/2020,14/04/2021,complete,"[0.87033707 0.03829917 0.17082527 0.36761688 0.04813069 0.74980502
 0.76759353 0.62349351 0.16786267 0.29265522]"
Maize,7,36.9198104,-0.8395184,training,15/04/2020,15/04/2021,complete,"[0.98695078 0.22113617 0.42778003 0.38550532 0.66271868 0.24478548
 0.8603053  0.19605228 0.45689331 0.25460374]"
Maize,7,36.9190312,-0.8399775,training,16/04/2020,16/04/2021,complete,"[0.27851997 0.88314729 0.51207446 0.45302476 0.7243724  0.67308282
 0.38911036 0.17343783 0.28446125 0.66217095]"
Maize,7,36.9154673,-0.8329827,training,17/04/2020,17/04/2021,complete,"[0.0754456  0.89372193 0.6065539  0.1920958  0.24693185 0.76228159
 0.29794183 0.84945316 0.55015597 0.56535336]"
Maize,7,36.912917,-0.827975005,training,18/04/2020,18/04/2021,complete,"[0.77174246 0.39089984 0.65005798 0.54010851 0.76488445 0.09495157
 0.60135231 0.3278116  0.73067431 0.74159315]"
Maize,7,36.91281572,-0.827878439,training,19/04/2020,19/04/2021,complete,"[0.86038909 0.77057225 0.70440671 0.85485646 0.93427522 0.42373297
 0.21524989 0.51110808 0.3115957  0.89189805]"
Maize,7,36.9127719,-0.8278264,training,20/04/2020,20/04/2021,complete,"[0.44154066 0.18071519 0.30816926 0.33462324 0.45721082 0.02607522
 0.46563249 0.74541238 0.97332388 0.37195211]"
Coffee,18,36.9743154,-0.8618267,training,21/04/2020,21/04/2021,complete,"[0.32811582 0.36781491 0.93755891 0.4962223  0.24525678 0.66512457
 0.55800708 0.67175545 0.0109142  0.91789739]"
Shrub,9,37.0992833,-0.892431,training,22/04/2020,22/04/2021,complete,"[0.23631904 0.68482569 0.02016881 0.93725198 0.93721623 0.214162
 0.58524067 0.55504272 0.38904217 0.25400744]"
Mango,11,37.0996096,-0.8917336,training,23/04/2020,23/04/2021,complete,"[0.54294007 0.08384271 0.71761228 0.15146166 0.48280133 0.0647921
 0.49988021 0.16822654 0.30376763 0.13479752]"
Maize,7,37.0998211,-0.8919172,training,24/04/2020,24/04/2021,complete,"[0.44973834 0.12953046 0.19091027 0.45345276 0.81811084 0.87554799
 0.4398797  0.12528749 0.40241954 0.37186578]"
Banana,26,37.0998963,-0.8912096,training,25/04/2020,25/04/2021,complete,"[0.68784381 0.69383403 0.65698091 0.2211936  0.30545881 0.9316639
 0.44550739 0.85978091 0.54731177 0.7002995 ]"
Beans,12,37.1173268,-0.8913278,training,26/04/2020,26/04/2021,complete,"[0.69419135 0.80658762 0.25099777 0.95358571 0.77203237 0.38570144
 0.87157735 0.71250285 0.98917602 0.29650934]"
Maize,7,37.1217998,-0.9344754,training,27/04/2020,27/04/2021,complete,"[0.26471347 0.48564964 0.12120306 0.292081   0.51745989 0.32426596
 0.9118785  0.86153737 0.22748898 0.91291243]"
Maize,7,37.121773,-0.9337903,training,28/04/2020,28/04/2021,complete,"[0.68550721 0.55470917 0.48434509 0.38896914 0.90243317 0.76609875
 0.61394703 0.74177713 0.19746714 0.77547633]"
Bananas,20,36.9761463,-0.8833592,training,29/04/2020,29/04/2021,complete,"[0.98842109 0.18626789 0.96085216 0.60761773 0.03162576 0.32256585
 0.10322276 0.66353981 0.8500509  0.51272075]"
Shrub,9,37.1208895,-0.9334106,training,30/04/2020,30/04/2021,complete,"[0.07426823 0.52611695 0.71167896 0.28076886 0.90501901 0.1227202
 0.49237885 0.80829762 0.6585156  0.88148419]"
Maize,7,37.1207922,-0.9332948,training,05/01/2020,05/01/2021,complete,"[0.98083339 0.92411401 0.11689503 0.805855   0.66455663 0.60905533
 0.41561882 0.6649863  0.88937325 0.52223853]"
Maize,7,37.1207638,-0.93218,training,05/02/2020,05/02/2021,complete,"[0.79410976 0.56430415 0.31381116 0.45619817 0.23716881 0.5991124
 0.46570492 0.71775952 0.30993962 0.62108385]"
Beans,12,37.120741,-0.9321911,training,05/03/2020,05/03/2021,complete,"[0.63563521 0.23980051 0.62321362 0.772682   0.92195264 0.46796031
 0.85886669 0.3569283  0.46655922 0.18035395]"
Maize,7,37.12072,-0.9322933,training,05/04/2020,05/04/2021,complete,"[0.24743208 0.46497603 0.95885077 0.04503891 0.34944777 0.1077112
 0.04170505 0.47505375 0.08429064 0.7956007 ]"
Avocado,8,36.9967243,-0.9091509,training,05/05/2020,05/05/2021,complete,"[0.42678435 0.53719457 0.17172656 0.51392787 0.73110524 0.41260944
 0.13326273 0.35283957 0.21531166 0.93174362]"
Maize,7,36.9123665,-0.8335573,training,05/06/2020,05/06/2021,complete,"[0.78284489 0.21238607 0.02268313 0.24175156 0.27287153 0.09173459
 0.63431265 0.78676232 0.73699486 0.20532932]"
Maize,7,36.91047314,-0.83614515,training,05/07/2020,05/07/2021,complete,"[0.01158987 0.58786781 0.8144474  0.88660506 0.66626605 0.45869687
 0.53277462 0.06564035 0.27777876 0.85753584]"
Maize,7,36.91035257,-0.835644028,training,05/08/2020,05/08/2021,complete,"[0.54502544 0.3161098  0.89766182 0.90235456 0.0513726  0.73140129
 0.60253517 0.87118182 0.48515052 0.03412523]"
Arrowroot,16,36.91067579,-0.835605461,training,05/09/2020,05/09/2021,complete,"[0.36251771 0.00784074 0.83002828 0.95179507 0.74036557 0.9975163
 0.02686743 0.05654219 0.59617476 0.94317037]"
Avocado,8,36.9036314,-0.8324928,training,05/10/2020,05/10/2021,complete,"[0.81429791 0.09822441 0.9402732  0.58302114 0.05570278 0.39323283
 0.15933325 0.21926072 0.03430931 0.47450274]"
Maize,7,37.1205842,-0.9312262,training,05/11/2020,05/11/2021,complete,"[0.69886914 0.12837797 0.72450879 0.12398266 0.200293   0.21234382
 0.17940153 0.99157404 0.49268768 0.078227  ]"
Shrub,9,37.12065,-0.931245,training,05/12/2020,05/12/2021,complete,"[0.68414036 0.70324932 0.12687463 0.32368067 0.62554371 0.62815101
 0.81512071 0.40674774 0.03491462 0.98567281]"
Bananas,20,36.99871,-0.9058774,training,13/05/2020,13/05/2021,complete,"[0.82353419 0.2536559  0.3610872  0.5717481  0.22193629 0.84523133
 0.91177067 0.64719918 0.76087047 0.23556654]"
