Series_reference,Period,Data_value,STATUS,UNITS,lon,lat,MAGNTUDE,Subject,Group,Series_title_1,class_prob,subset,start_date,end_date,Series_title_3,Series_title_4,Series_title_5,EO_DATA,EO_STATUS
PRDA.S1CAAZI,1988.03,1487.0,FINAL,Index,37.33,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-11,2021-01-10,Index,,,"[0.5980492733302403, 0.7770388589611323, 0.8730702173210377, 0.23658475834935322, 0.6326195829815469, 0.46036764670546704, 0.6200684621533701, 0.9369732190882364, 0.6359579932000117, 0.8415444108889045]",complete
PRDA.S1CAAZI,1989.03,1452.0,FINAL,Index,37.33,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-12,2021-01-11,Index,,,"[0.13935533742537298, 0.42081384332223637, 0.563980785818594, 0.01923502847913683, 0.2488950750202783, 0.17149887586608215, 0.7502528233080297, 0.5293501881316905, 0.6977058676412938, 0.042775678381890225]",complete
PRDA.S1CAAZI,1990.03,1357.0,FINAL,Index,37.34,-1.02,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-13,2021-01-12,Index,,,"[0.9238180796403315, 0.6804421161063957, 0.6629270037353908, 0.22425669119407876, 0.5249289379793014, 0.524093790982813, 0.7090333823215555, 0.8577170077560835, 0.5935562912222032, 0.15141067330337077]",complete
PRDA.S1CAAZI,1991.03,1568.0,FINAL,Index,37.37,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-14,2021-01-13,Index,,,"[0.5548147787419222, 0.2876799995054353, 0.7221799842440904, 0.15211661430689738, 0.7804121074347918, 0.9144345761670687, 0.48583327802176823, 0.06814878825808057, 0.2765675257002469, 0.5928620235789203]",complete
PRDA.S1CAAZI,1992.03,1547.0,FINAL,Index,37.37,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-15,2021-01-14,Index,,,"[0.856186940681441, 0.5133172578042655, 0.8484712953603429, 0.5993159738461444, 0.18005569511745312, 0.434293063174221, 0.7976223544601068, 0.2866060707523175, 0.9040393733576045, 0.5953208787352571]",complete
PRDA.S1CAAZI,1993.03,1331.0,FINAL,Index,37.36,-1.02,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-16,2021-01-15,Index,,,"[0.01811401006224811, 0.05217767457622635, 0.4951531661621956, 0.9577946113034543, 0.6978692527027548, 0.7694941470532161, 0.639175087643407, 0.7408485202346775, 0.23749290840096904, 0.19531868562957122]",complete
PRDA.S1CAAZI,1994.03,1539.0,FINAL,Index,37.33,-1.0,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-17,2021-01-16,Index,,,"[0.128406099134447, 0.7941220697451911, 0.5255593106475838, 0.4904845037970016, 0.17940140808197136, 0.024400804237483698, 0.5408629510898826, 0.8035483919092211, 0.3093680735079696, 0.7707725107836338]",complete
PRDA.S1CAAZI,1995.03,1502.0,FINAL,Index,37.41,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-18,2021-01-17,Index,,,"[0.7077496237819548, 0.4751385412004824, 0.49922692190948403, 0.7547008161654292, 0.330641979803067, 0.2901769817358749, 0.557884867435346, 0.869075077249764, 0.13789248979206215, 0.9698756583838993]",complete
PRDA.S1CAAZI,1996.03,1579.0,FINAL,Index,37.39,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-19,2021-01-18,Index,,,"[0.9323004664414751, 0.8962111267571773, 0.46211314819373317, 0.585825981735671, 0.29918157372717025, 0.8156414931449607, 0.5187352282324397, 0.5501878678850213, 0.43044180565765566, 0.46082774058700027]",complete
PRDA.S1CAAZI,1997.03,1693.0,REVISED,Index,37.39,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-20,2021-01-19,Index,,,"[0.7231394376401601, 0.13755462841188704, 0.35163785832179006, 0.6316603934171843, 0.00996604528514955, 0.3444302027255176, 0.34002396343454455, 0.6604733750835255, 0.49666331434075894, 0.06164667742705021]",complete
PRDA.S1CAAZI,1998.03,1704.0,REVISED,Index,37.39,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-21,2021-01-20,Index,,,"[0.15925853721068983, 0.35107305380269616, 0.40248805333416904, 0.6995297431248344, 0.7807218211788757, 0.05379442820582836, 0.7520413035644982, 0.914806267065999, 0.5051868309384587, 0.148990627710065]",complete
PRDA.S1CAAZI,1999.03,1619.0,REVISED,Index,37.39,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-22,2021-01-21,Index,,,"[0.28151923324252115, 0.7290226443795863, 0.5059622412248655, 0.058467472282606514, 0.27212237136423767, 0.05434296333899258, 0.9682829456377864, 0.15781776165241002, 0.8744941945242684, 0.33838385504521207]",complete
PRDA.S1CAAZI,2000.03,1668.0,FINAL,Index,37.38,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-23,2021-01-22,Index,,,"[0.0027690527632283635, 0.3272332508089544, 0.9398395051284482, 0.2624807812186166, 0.980413677685344, 0.045801652667604165, 0.1806483681878892, 0.47584221901226387, 0.26195178785058637, 0.03129742479881936]",complete
PRDA.S1CAAZI,2001.03,1700.0,REVISED,Index,37.38,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-24,2021-01-23,Index,,,"[0.36395595735303543, 0.28312480316149713, 0.5252327961684644, 0.1340041100465088, 0.2074255508365852, 0.5637207237414396, 0.14694180540402724, 0.2500754605962744, 0.6928736270241341, 0.889767850316601]",complete
PRDA.S1CAAZI,2002.03,1635.0,REVISED,Index,37.37,-1.03,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-25,2021-01-24,Index,,,"[0.23254941271232887, 0.5931677017822562, 0.1925181644662619, 0.6374499810257642, 0.40999081330306075, 0.06762409786303247, 0.9530638219826393, 0.8507442407465992, 0.5805723502464709, 0.4881834987854099]",complete
PRDA.S1CAAZI,2003.03,1595.0,REVISED,Index,37.34,-1.01,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-26,2021-01-25,Index,,,"[0.6719293547960153, 0.8996645947232381, 0.5393822279909178, 0.6636868909005905, 0.6946712758487866, 0.28605487391398066, 0.370350720247536, 0.5727681174618353, 0.6630872043237969, 0.3840245441870547]",complete
PRDA.S1CAAZI,2004.03,1745.0,REVISED,Index,37.34,-1.01,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-27,2021-01-26,Index,,,"[0.2406108169299499, 0.4542294066245878, 0.8067177492232656, 0.003680848426715566, 0.07512433327500367, 0.8567225929370326, 0.6574663963284036, 0.314416130650335, 0.3139597882245818, 0.6780296627236941]",complete
PRDA.S1CAAZI,2005.03,1669.0,REVISED,Index,36.97,-0.94,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-28,2021-01-27,Index,,,"[0.08505267280749629, 0.9150703901494077, 0.5562644961970551, 0.7081415478642669, 0.5225192258854748, 0.3436974668057563, 0.1560519879511102, 0.4446984186327744, 0.33714150617924343, 0.9490648620756661]",complete
PRDA.S1CAAZI,2006.03,1733.0,REVISED,Index,36.93,-0.93,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-29,2021-01-28,Index,,,"[0.8274929374486866, 0.2604924737795712, 0.6390497130229126, 0.7308671924870461, 0.02939587640233432, 0.049794129883516836, 0.3217893541251772, 0.732383351004917, 0.7415743065095631, 0.6054856436922151]",complete
PRDA.S1CAAZI,2007.03,1782.0,FINAL,Index,36.91,-0.91,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-30,2021-01-29,Index,,,"[0.6132749038330285, 0.02522522337350308, 0.8562036422817394, 0.6124560902130275, 0.6981054369062167, 0.12406008874051155, 0.4541696330130387, 0.49157935050635504, 0.8376036157819784, 0.9180990002988371]",complete
PRDA.S1CAAZI,2008.03,1484.0,FINAL,Index,36.91,-0.91,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-01-31,2021-01-30,Index,,,"[0.5263433012628047, 0.7722018179462076, 0.5427371976574088, 0.8017460654350305, 0.9322349117325696, 0.7879509391915921, 0.8981207203115145, 0.2870496985929165, 0.4211390250373269, 0.4922499220320873]",complete
PRDA.S1CAAZI,2009.03,1598.0,REVISED,Index,36.93,-0.93,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-01,2021-01-31,Index,,,"[0.43615556716801274, 0.10397135485753017, 0.30714622825977467, 0.6691912250045775, 0.5212921621406525, 0.7964421256507259, 0.9291903680662225, 0.659862009338474, 0.996534683354786, 0.28723841576053133]",complete
PRDA.S1CAAZI,2010.03,1623.0,REVISED,Index,36.93,-0.93,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-02,2021-02-01,Index,,,"[0.16361038268504047, 0.19238658600353442, 0.25681527418167827, 0.9086291684719321, 0.6225845416510226, 0.4098979043092338, 0.43007415255404025, 0.5102075242878249, 0.8082124141278507, 0.36496696394365347]",complete
PRDA.S1CAAZI,2011.03,1488.0,REVISED,Index,36.93,-0.93,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-03,2021-02-02,Index,,,"[0.4510209607053326, 0.1241043791077433, 0.3320349127731642, 0.9635660252388304, 0.8873698718159571, 0.9074134628249432, 0.3760674836814435, 0.5477412683646138, 0.39734374560308683, 0.5397931622950178]",complete
PRDA.S1CAAZI,2012.03,1666.0,REVISED,Index,36.85,-0.85,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-04,2021-02-03,Index,,,"[0.6847834191311347, 0.9506788801485165, 0.27432342358816164, 0.060713593522562226, 0.6171071651999527, 0.1977017465629275, 0.871434548340852, 0.0380038202288816, 0.9500964980891077, 0.3596520364316298]",complete
PRDA.S1CAAZI,2013.03,1736.0,REVISED,Index,36.87,-0.88,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-05,2021-02-04,Index,,,"[0.25372596112750934, 0.21533691490067486, 0.03901543961895493, 0.6011963044400067, 0.8532642957136282, 0.4616341131802202, 0.6278844919909019, 0.4410635940009435, 0.259274035284938, 0.3132804500481131]",complete
PRDA.S1CAAZI,2014.03,1710.0,REVISED,Index,36.96,-0.94,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-06,2021-02-05,Index,,,"[0.20705091750271098, 0.581203066033877, 0.6761216737141045, 0.2667281931833668, 0.24636798497064394, 0.8272282497311716, 0.619770798284786, 0.07354867054982761, 0.09031832957822583, 0.027528009281901133]",complete
PRDA.S1CAAZI,2015.03,1766.0,REVISED,Index,37.34,-1.01,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-07,2021-02-06,Index,,,"[0.13200497171897607, 0.358633245136846, 0.6388729710840626, 0.1724847216632962, 0.4265373005256474, 0.527213223409801, 0.9415221194207369, 0.1839021824387561, 0.0751824097182151, 0.29524429856090384]",complete
PRDA.S1CAAZI,2016.03,1791.0,REVISED,Index,36.83,-0.84,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-08,2021-02-07,Index,,,"[0.8437525809481923, 0.6959517410838235, 0.4523286520715525, 0.26243178005950285, 0.3390786582235078, 0.780955019023619, 0.3054060458780471, 0.8136669372809264, 0.06251564828300715, 0.7526003797413682]",complete
PRDA.S1CAAZI,2017.03,1781.0,REVISED,Index,37.34,-0.99,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-09,2021-02-08,Index,,,"[0.15779775879031588, 0.7258903111038023, 0.012158153646231185, 0.6667659856202891, 0.6028519279281415, 0.33634634545729136, 0.5556169801542961, 0.037472082742363244, 0.6583863001925089, 0.5874199621369351]",complete
PRDA.S1CAAZI,2018.03,1684.0,REVISED,Index,36.81,-0.84,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-10,2021-02-09,Index,,,"[0.09998434201917927, 0.8302007741015512, 0.012762325792423979, 0.9449797828002061, 0.5233460138760329, 0.26931456897511874, 0.05448883499268686, 0.08348467033189677, 0.9861128320005523, 0.2263067561966886]",complete
PRDA.S1CAAZI,2019.03,1787.0,REVISED,Index,36.81,-0.84,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-11,2021-02-10,Index,,,"[0.26879464784655516, 0.25945956789480573, 0.7802714613981244, 0.41680434208925543, 0.17517209149486412, 0.1930518339594297, 0.8983373518188607, 0.6014757782136506, 0.944039676439493, 0.6668816906618448]",complete
PRDA.S1CAAZI,2020.03,1750.0,REVISED,Index,36.83,-0.84,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-12,2021-02-11,Index,,,"[0.8875979377593097, 0.6450655582122591, 0.16469072465017276, 0.32825323503708115, 0.47339578094704204, 0.5259326127177807, 0.4139608504888038, 0.2246557894315544, 0.4281853525185769, 0.7349315283587542]",complete
PRDA.S1CAAZI,2021.03,1828.0,REVISED,Index,37.33,-0.99,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-13,2021-02-12,Index,,,"[0.5420290761331734, 0.19431305464873705, 0.5118286754217839, 0.2608467604780813, 0.35192831389285606, 0.7979839602994893, 0.47023949768626816, 0.7649975331643957, 0.049450140721229, 0.9202139335275542]",complete
PRDA.S1CAAZI,2022.03,1812.0,REVISED,Index,36.83,-0.84,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-14,2021-02-13,Index,,,"[0.15259953821311023, 0.08157638787417665, 0.552776932763841, 0.1124771267793605, 0.5348294097724433, 0.3372221917182072, 0.5497732102013044, 0.518643654243253, 0.8437568271127505, 0.5743302549701147]",complete
PRDA.S1CAAZI,2023.03,1862.0,PROVISIONAL,Index,37.33,-0.98,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-15,2021-02-14,Index,,,"[0.3567074849793578, 0.5033323541652462, 0.16865623395126872, 0.5863542456389237, 0.658674806637527, 0.8272389771379076, 0.9318811093819959, 0.17139047308982502, 0.6048277259554261, 0.1397244132453126]",complete
PRDA.S1CAAZP,1979.03,-5.3,FINAL,Percent,37.32,-0.97,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-16,2021-02-15,Percentage Change,,,"[0.5657916544154374, 0.9853370749868233, 0.36867243896399016, 0.34216279931796134, 0.8812720461336628, 0.8846412679096758, 0.11652026845046615, 0.5005585781636648, 0.40984884874652117, 0.42253721985267023]",complete
PRDA.S1CAAZP,1980.03,11.3,FINAL,Percent,37.32,-0.96,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-17,2021-02-16,Percentage Change,,,"[0.5606057187661809, 0.3594638990112211, 0.3530667263638334, 0.1896763279212963, 0.951654964432719, 0.5051445297066912, 0.48746132245619167, 0.43405711658396373, 0.15359699096667911, 0.41237022302820414]",complete
PRDA.S1CAAZP,1981.03,10.7,FINAL,Percent,37.32,-0.95,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-18,2021-02-17,Percentage Change,,,"[0.7926273658085942, 0.38757877907755023, 0.37084113608168756, 0.4374803536105377, 0.8618225392848989, 0.21281791618248502, 0.8886179343681025, 0.4075417527703945, 0.13469368968434337, 0.27552401431295026]",complete
PRDA.S1CAAZP,1982.03,-1.9,FINAL,Percent,37.34,-1.0,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-19,2021-02-18,Percentage Change,,,"[0.8241679318235221, 0.7613007342806888, 0.49114615101415515, 0.5614904629433164, 0.11207477824510736, 0.3145217039403144, 0.281261970399891, 0.6574267473741487, 0.39933145651974666, 0.04558633801327916]",complete
PRDA.S1CAAZP,1983.03,1.8,FINAL,Percent,37.34,-1.0,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-20,2021-02-19,Percentage Change,,,"[0.3064690462767158, 0.9949395363808922, 0.6901446164373911, 0.33900575727581683, 0.6969126531463135, 0.1894990180727022, 0.20803645616013344, 0.3240598239818271, 0.28661538957820654, 0.5814502169718765]",complete
PRDA.S1CAAZP,1984.03,-6.8,FINAL,Percent,37.34,-1.01,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-21,2021-02-20,Percentage Change,,,"[0.5951997812133986, 0.5463768075158718, 0.34895537567238333, 0.5533997373188466, 0.6880434139314567, 0.864750285098423, 0.24990994657731636, 0.325290753739781, 0.0847383966951698, 0.028088375380636132]",complete
PRDA.S1CAAZP,1985.03,3.0,FINAL,Percent,37.34,-1.04,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-22,2021-02-21,Percentage Change,,,"[0.5934315677080361, 0.4444311357580133, 0.15719905141582524, 0.942940956341465, 0.3864968213043587, 0.6638910352022765, 0.18196597703354145, 0.8298770314243918, 0.9350861192652629, 0.4627220610982472]",complete
PRDA.S1CAAZP,1986.03,19.4,FINAL,Percent,37.33,-1.07,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-23,2021-02-22,Percentage Change,,,"[0.8779375462718939, 0.013410462513877452, 0.2655679186200335, 0.3030868597849111, 0.6274007736361903, 0.7087017743301439, 0.7263424693747266, 0.20655926196495855, 0.30395196390642776, 0.9244833604002124]",complete
PRDA.S1CAAZP,1987.03,-0.3,FINAL,Percent,37.32,-1.07,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-24,2021-02-23,Percentage Change,,,"[0.5952032901179729, 0.819725820151392, 0.08500997242805886, 0.6157835970875769, 0.22042847531931253, 0.8867208935893153, 0.6850281254072351, 0.2821752189605129, 0.3301007800167507, 0.09010221755778991]",complete
PRDA.S1CAAZP,1988.03,11.9,FINAL,Percent,37.33,-0.99,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-25,2021-02-24,Percentage Change,,,"[0.12152032588146533, 0.13831167722517979, 0.9578939920206179, 0.5900716637977971, 0.18734024872331878, 0.7365790414307132, 0.4680872809768186, 0.022549751090336967, 0.5290300118363881, 0.9108728058444058]",complete
PRDA.S1CAAZP,1989.03,-2.4,FINAL,Percent,37.33,-0.98,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-26,2021-02-25,Percentage Change,,,"[0.8268880717456896, 0.8850494278961382, 0.44386392313089507, 0.45927712577568947, 0.03987646171889481, 0.8974147569498514, 0.009293422684311992, 0.8989242952018167, 0.9097866409679536, 0.4132343309217602]",complete
PRDA.S1CAAZP,1990.03,-6.6,FINAL,Percent,37.32,-0.97,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-27,2021-02-26,Percentage Change,,,"[0.35202885286021146, 0.10933518548283505, 0.32230440780739245, 0.6844115054787849, 0.5950026965809104, 0.470804521613857, 0.5685973331696136, 0.7075702125498136, 0.5121432713262593, 0.6835524889490701]",complete
PRDA.S1CAAZP,1991.03,15.6,FINAL,Percent,37.32,-0.98,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-28,2021-02-27,Percentage Change,,,"[0.3368808598814387, 0.007840922171367892, 0.07600993949962709, 0.43917416430149303, 0.48538356779288905, 0.028714431567031462, 0.7319869594303328, 0.11806942113981223, 0.9796645521945798, 0.5959652618848845]",complete
PRDA.S1CAAZP,1992.03,-1.3,FINAL,Percent,37.35,-1.07,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-02-29,2021-02-28,Percentage Change,,,"[0.035290734782216115, 0.49771560885848276, 0.6820064361689748, 0.4121159482583112, 0.911765650320793, 0.39770252896107594, 0.00888398869645668, 0.6643526119625582, 0.5783086529412493, 0.3889110074503378]",complete
PRDA.S1CAAZP,1993.03,-14.0,FINAL,Percent,37.35,-1.07,0,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing",training,2020-03-01,2021-03-01,Percentage Change,,,"[0.613899418084459, 0.15867174520436977, 0.3036001310351889, 0.12097526194279562, 0.5420449754512847, 0.07622394178555636, 0.10375912620994376, 0.5840403974296345, 0.5297291054682761, 0.0858381269256635]",complete
