Name,class,lon,lat,subset,start_date,end_date
Maize,7,36.8264801,-0.84193,training,08/02/2020,07/02/2021
Maize,7,37.3377815,-0.9926294,training,09/02/2020,08/02/2021
Maize,7,36.8131584,-0.8386043,training,10/02/2020,09/02/2021
Maize,7,36.8134504,-0.8382516,training,11/02/2020,10/02/2021
Napier,19,36.8348357,-0.8438965,training,12/02/2020,11/02/2021
Maize,7,37.33004549,-0.987252381,training,13/02/2020,12/02/2021
Maize,7,36.8348571,-0.8440127,training,14/02/2020,13/02/2021
Bananas,20,37.331477,-0.979039,training,15/02/2020,14/02/2021
Maize,7,37.3229167,-0.968112831,training,16/02/2020,15/02/2021
Maize,7,37.3181573,-0.9597293,training,17/02/2020,16/02/2021
Maize,7,37.31670001,-0.953698478,training,18/02/2020,17/02/2021
Oranges,13,37.3399494,-1.0016604,training,19/02/2020,18/02/2021
Maize,7,37.3394282,-0.9987535,training,20/02/2020,19/02/2021
Sunflower,21,37.3412302,-1.0068534,training,21/02/2020,20/02/2021
Maize,7,37.33997217,-1.043342129,training,22/02/2020,21/02/2021
Cassava,22,37.32741233,-1.065886627,training,23/02/2020,22/02/2021
Pawpaw,14,37.32281072,-1.070724442,training,24/02/2020,23/02/2021
Mango,11,37.3276771,-0.9869674,training,25/02/2020,24/02/2021
Maize,7,37.3325102,-0.9846467,training,26/02/2020,25/02/2021
Maize,7,37.31653128,-0.974623207,training,27/02/2020,26/02/2021
Maize,7,37.316975,-0.9788383,training,28/02/2020,27/02/2021
Shrub,9,37.3517973,-1.0657104,training,29/02/2020,28/02/2021
Shrub,9,37.3549936,-1.0720845,training,01/03/2020,01/03/2021
Maize,7,37.32858901,-0.984864713,training,02/03/2020,02/03/2021
Sweet Potato,23,37.042517,-0.9716409,training,03/03/2020,03/03/2021
Potatoes,15,37.0427549,-0.9716926,training,04/03/2020,04/03/2021
Maize,7,37.1146081,-0.9072025,training,05/03/2020,05/03/2021
Bananas,20,37.0165965,-0.8796607,training,06/03/2020,06/03/2021
Shrub,9,37.1149177,-0.9048887,training,07/03/2020,07/03/2021
Beans,12,37.1149441,-0.9049003,training,08/03/2020,08/03/2021
Coffee,18,37.0218315,-0.8663206,training,09/03/2020,09/03/2021
Bananas,20,37.0149254,-0.8632358,training,10/03/2020,10/03/2021
Maize,7,37.011644,-0.8600246,training,11/03/2020,11/03/2021
Maize,7,37.0047405,-0.8626162,training,12/03/2020,12/03/2021
Coffee,18,37.0021863,-0.8567977,training,13/03/2020,13/03/2021
Coffee,18,36.986763,-0.8529876,training,14/03/2020,14/03/2021
Mango,11,37.12567508,-0.888791883,training,15/03/2020,15/03/2021
Coffee,18,36.9851643,-0.8891114,training,16/03/2020,16/03/2021
Beans,12,37.0631089,-0.8759884,training,17/03/2020,17/03/2021
Irish Potato,24,37.0591749,-0.9002128,training,18/03/2020,18/03/2021
Arrow Roots,25,37.0461664,-0.8878736,training,19/03/2020,19/03/2021
Arrowroot,16,37.0467733,-0.8884249,training,20/03/2020,20/03/2021
Bananas,20,36.99324811,-0.884428389,training,21/03/2020,21/03/2021
Maize,7,37.0869537,-0.8834919,training,22/03/2020,22/03/2021
Beans,12,37.0526707,-0.9096525,training,23/03/2020,23/03/2021
Beans,12,37.0524648,-0.9098317,training,24/03/2020,24/03/2021
Maize,7,37.0524338,-0.9099815,training,25/03/2020,25/03/2021
Maize,7,37.0522043,-0.9104702,training,26/03/2020,26/03/2021
Potatoes,15,37.0517074,-0.9102907,training,27/03/2020,27/03/2021
Maize,7,37.0512258,-0.9110599,training,28/03/2020,28/03/2021
Banana,26,37.0538703,-0.9154099,training,29/03/2020,29/03/2021
Maize,7,37.0542991,-0.91536,training,30/03/2020,30/03/2021
Banana,26,37.0549815,-0.9160407,training,31/03/2020,31/03/2021
Maize,7,37.0530177,-0.9142576,training,01/04/2020,01/04/2021
Maize,7,37.0524189,-0.9142979,training,02/04/2020,02/04/2021
Sunflower,21,37.0588728,-0.9040369,training,03/04/2020,03/04/2021
Maize,7,37.060932,-0.9024424,training,04/04/2020,04/04/2021
Avocado,8,36.9900143,-0.8830595,training,05/04/2020,05/04/2021
Bananas,20,36.9860357,-0.8777734,training,06/04/2020,06/04/2021
Coffee,18,36.9816885,-0.8827142,training,07/04/2020,07/04/2021
Maize,7,36.9974583,-0.8463329,training,08/04/2020,08/04/2021
Napier,19,36.9291855,-0.8620414,training,09/04/2020,09/04/2021
Bananas,20,36.9265492,-0.8599061,training,10/04/2020,10/04/2021
Maize,7,36.9245814,-0.8573353,training,11/04/2020,11/04/2021
Maize,7,36.9239827,-0.8575428,training,12/04/2020,12/04/2021
Maize,7,36.92272621,-0.855580599,training,13/04/2020,13/04/2021
Maize,7,36.92029903,-0.847158295,training,14/04/2020,14/04/2021
Maize,7,36.9198104,-0.8395184,training,15/04/2020,15/04/2021
Maize,7,36.9190312,-0.8399775,training,16/04/2020,16/04/2021
Maize,7,36.9154673,-0.8329827,training,17/04/2020,17/04/2021
Maize,7,36.912917,-0.827975005,training,18/04/2020,18/04/2021
Maize,7,36.91281572,-0.827878439,training,19/04/2020,19/04/2021
Maize,7,36.9127719,-0.8278264,training,20/04/2020,20/04/2021
Coffee,18,36.9743154,-0.8618267,training,21/04/2020,21/04/2021
Shrub,9,37.0992833,-0.892431,training,22/04/2020,22/04/2021
Mango,11,37.0996096,-0.8917336,training,23/04/2020,23/04/2021
Maize,7,37.0998211,-0.8919172,training,24/04/2020,24/04/2021
Banana,26,37.0998963,-0.8912096,training,25/04/2020,25/04/2021
Beans,12,37.1173268,-0.8913278,training,26/04/2020,26/04/2021
Maize,7,37.1217998,-0.9344754,training,27/04/2020,27/04/2021
Maize,7,37.121773,-0.9337903,training,28/04/2020,28/04/2021
Bananas,20,36.9761463,-0.8833592,training,29/04/2020,29/04/2021
Shrub,9,37.1208895,-0.9334106,training,30/04/2020,30/04/2021
Maize,7,37.1207922,-0.9332948,training,01/05/2020,01/05/2021
Maize,7,37.1207638,-0.93218,training,02/05/2020,02/05/2021
Beans,12,37.120741,-0.9321911,training,03/05/2020,03/05/2021
Maize,7,37.12072,-0.9322933,training,04/05/2020,04/05/2021
Avocado,8,36.9967243,-0.9091509,training,05/05/2020,05/05/2021
Maize,7,36.9123665,-0.8335573,training,06/05/2020,06/05/2021
Maize,7,36.91047314,-0.83614515,training,07/05/2020,07/05/2021
Maize,7,36.91035257,-0.835644028,training,08/05/2020,08/05/2021
Arrowroot,16,36.91067579,-0.835605461,training,09/05/2020,09/05/2021
Avocado,8,36.9036314,-0.8324928,training,10/05/2020,10/05/2021
Maize,7,37.1205842,-0.9312262,training,11/05/2020,11/05/2021
Shrub,9,37.12065,-0.931245,training,12/05/2020,12/05/2021
Bananas,20,36.99871,-0.9058774,training,13/05/2020,13/05/2021
Maize,7,37.1205477,-0.9306546,training,14/05/2020,14/05/2021
Maize,7,37.1192892,-0.9298269,training,15/05/2020,15/05/2021
Maize,7,37.1193517,-0.929206,training,16/05/2020,16/05/2021
Maize,7,37.122005,-0.929485,training,17/05/2020,17/05/2021
Maize,7,37.1227633,-0.9281505,training,18/05/2020,18/05/2021
Coffee,18,37.1227748,-0.9270025,training,19/05/2020,19/05/2021
Maize,7,37.12248752,-0.926208794,training,20/05/2020,20/05/2021
Maize,7,37.1174356,-0.8916905,training,21/05/2020,21/05/2021
Beans,12,37.1192714,-0.8922444,training,22/05/2020,22/05/2021
Maize,7,37.1179343,-0.8912495,training,23/05/2020,23/05/2021
Bananas,20,37.097311,-0.905217,training,24/05/2020,24/05/2021
Beans,12,37.0931606,-0.9047222,training,25/05/2020,25/05/2021
Maize,7,37.0983317,-0.908779,training,26/05/2020,26/05/2021
Maize,7,37.0978027,-0.9084326,training,27/05/2020,27/05/2021
Cassava,22,37.1128493,-0.9046099,training,28/05/2020,28/05/2021
Cassava,22,37.0975113,-0.9054392,training,29/05/2020,29/05/2021
Maize,7,37.1227443,-0.9264755,training,30/05/2020,30/05/2021
Bananas,20,37.1226317,-0.9255986,training,31/05/2020,31/05/2021
Coffee,18,36.974648,-0.8939469,training,01/06/2020,01/06/2021
Maize,7,36.9708919,-0.8941972,training,02/06/2020,02/06/2021
Bananas,20,36.9650956,-0.8880332,training,03/06/2020,03/06/2021
Maize,7,36.9624354,-0.8758191,training,04/06/2020,04/06/2021
Coffee,18,36.9517723,-0.8789038,training,05/06/2020,05/06/2021
Maize,7,36.86686462,-0.822037816,training,06/06/2020,06/06/2021
Cabbage,27,36.8670401,-0.822056208,training,07/06/2020,07/06/2021
Maize,7,36.8673127,-0.8217643,training,08/06/2020,08/06/2021
Cabbage,27,36.8673113,-0.8217473,training,09/06/2020,09/06/2021
Avocado,8,36.867202,-0.8216335,training,10/06/2020,10/06/2021
Maize,7,36.8675652,-0.8217971,training,11/06/2020,11/06/2021
Potatoes,15,36.8675462,-0.8218831,training,12/06/2020,12/06/2021
Maize,7,36.87266361,-0.818692597,training,13/06/2020,13/06/2021
Maize,7,36.8728848,-0.8187309,training,14/06/2020,14/06/2021
Maize,7,36.90201325,-0.826886728,training,15/06/2020,15/06/2021
Maize,7,36.9018657,-0.8265307,training,16/06/2020,16/06/2021
Maize,7,36.9019551,-0.8264575,training,17/06/2020,17/06/2021
Maize,7,36.9021487,-0.8261334,training,18/06/2020,18/06/2021
Maize,7,36.8871666,-0.8211622,training,19/06/2020,19/06/2021
Maize,7,36.8730417,-0.8187665,training,20/06/2020,20/06/2021
Arrowroot,16,36.87338279,-0.818967092,training,21/06/2020,21/06/2021
Coffee,18,37.101262,-0.9530063,training,22/06/2020,22/06/2021
Avocado,8,36.94361045,-0.882668033,training,23/06/2020,23/06/2021
Maize,7,36.87519326,-0.818783762,training,24/06/2020,24/06/2021
Maize,7,36.87509687,-0.818940705,training,25/06/2020,25/06/2021
Avocado,8,36.87506321,-0.819047411,training,26/06/2020,26/06/2021
Mango,11,37.1011402,-0.9462366,training,27/06/2020,27/06/2021
Avocado,8,36.93343308,-0.866075417,training,28/06/2020,28/06/2021
Coffee,18,36.9369247,-0.8725452,training,29/06/2020,29/06/2021
Avocado,8,36.9430274,-0.8796407,training,30/06/2020,30/06/2021
Bananas,20,37.1100717,-0.9408067,training,01/07/2020,01/07/2021
Maize,7,37.1162684,-0.9383446,training,02/07/2020,02/07/2021
Maize,7,37.0139726,-0.9195036,training,03/07/2020,03/07/2021
Maize,7,37.1162336,-0.9338437,training,04/07/2020,04/07/2021
Maize,7,37.1131107,-0.9300126,training,05/07/2020,05/07/2021
Maize,7,37.1122495,-0.9287508,training,06/07/2020,06/07/2021
Maize,7,37.1105654,-0.9267875,training,07/07/2020,07/07/2021
Maize,7,37.109208,-0.9238932,training,08/07/2020,08/07/2021
Maize,7,37.0871527,-0.9325604,training,09/07/2020,09/07/2021
Coffee,18,37.0873339,-0.9320475,training,10/07/2020,10/07/2021
Maize,7,37.092517,-0.9308478,training,11/07/2020,11/07/2021
Maize,7,37.09784311,-0.936384406,training,12/07/2020,12/07/2021
Coffee,18,37.10126354,-0.939962194,training,13/07/2020,13/07/2021
Maize,7,37.0630597,-0.8758208,training,14/07/2020,14/07/2021
Maize,7,37.0995611,-0.8895957,training,15/07/2020,15/07/2021
Maize,7,37.1200129,-0.8931709,training,16/07/2020,16/07/2021
Maize,7,37.0066362,-0.9186338,training,17/07/2020,17/07/2021
Maize,7,37.0102927,-0.9190735,training,18/07/2020,18/07/2021
Maize,7,37.0140588,-0.9194722,training,19/07/2020,19/07/2021
Maize,7,37.0172476,-0.9207422,training,20/07/2020,20/07/2021
Maize,7,37.0259533,-0.9275214,training,21/07/2020,21/07/2021
Maize,7,37.0303098,-0.9313049,training,22/07/2020,22/07/2021
Maize,7,37.0338996,-0.9418663,training,23/07/2020,23/07/2021
Maize,7,37.0322924,-0.9431612,training,24/07/2020,24/07/2021
Kales,28,37.0330791,-0.9459905,training,25/07/2020,25/07/2021
Arrowroot,16,37.0331068,-0.9459922,training,26/07/2020,26/07/2021
Arrowroot,16,37.0335517,-0.9463285,training,27/07/2020,27/07/2021
Maize,7,37.0333949,-0.9462899,training,28/07/2020,28/07/2021
Maize,7,37.0348538,-0.953944,training,29/07/2020,29/07/2021
Maize,7,37.034612,-0.9575636,training,30/07/2020,30/07/2021
Maize,7,37.0402726,-0.9556908,training,31/07/2020,31/07/2021
Maize,7,37.0355753,-0.9522418,training,01/08/2020,01/08/2021
Coffee,18,36.95611565,-0.716184753,training,02/08/2020,02/08/2021
Potatoes,15,36.95434272,-0.717748703,training,03/08/2020,03/08/2021
Coffee,18,36.95415921,-0.720711253,training,04/08/2020,04/08/2021
Maize,7,36.8645484,-0.6992034,training,05/08/2020,05/08/2021
Cassava,22,36.95148393,-0.710035813,training,06/08/2020,06/08/2021
Maize,7,36.95148393,-0.710035813,training,07/08/2020,07/08/2021
Coffee,18,36.94220121,-0.710496936,training,08/08/2020,08/08/2021
Tea,29,36.93798777,-0.708204704,training,09/08/2020,09/08/2021
Maize,7,36.938318,-0.709083,training,10/08/2020,10/08/2021
Tea,29,36.9290872,-0.7145111,training,11/08/2020,11/08/2021
Potatoes,15,36.9297169,-0.715385704,training,12/08/2020,12/08/2021
Maize,7,36.91905882,-0.679596921,training,13/08/2020,13/08/2021
Maize,7,36.91826943,-0.680260979,training,14/08/2020,14/08/2021
Maize,7,36.9898995,-0.6786096,training,15/08/2020,15/08/2021
Maize,7,36.9899017,-0.6785762,training,16/08/2020,16/08/2021
Maize,7,36.9122193,-0.6793775,training,17/08/2020,17/08/2021
Coffee,18,36.9899409,-0.6784946,training,18/08/2020,18/08/2021
Coffee,18,36.9886643,-0.6804516,training,19/08/2020,19/08/2021
Maize,7,36.9888606,-0.681518,training,20/08/2020,20/08/2021
Coffee,18,36.9888613,-0.6815357,training,21/08/2020,21/08/2021
Coffee,18,36.9888544,-0.6815388,training,22/08/2020,22/08/2021
Beans,12,36.9901411,-0.6820012,training,23/08/2020,23/08/2021
Maize,7,36.98999084,-0.682256277,training,24/08/2020,24/08/2021
Beans,12,36.9899805,-0.68231032,training,25/08/2020,25/08/2021
Beans,12,36.90505627,-0.68238708,training,26/08/2020,26/08/2021
Maize,7,36.901495,-0.6811323,training,27/08/2020,27/08/2021
Maize,7,36.89722126,-0.682939025,training,28/08/2020,28/08/2021
Maize,7,36.89472648,-0.684466357,training,29/08/2020,29/08/2021
Maize,7,36.90470695,-0.68259318,training,30/08/2020,30/08/2021
Maize,7,36.9730397,-0.6879132,training,31/08/2020,31/08/2021
Maize,7,36.9731022,-0.6880358,training,01/09/2020,01/09/2021
Bananas,20,36.9730627,-0.6885855,training,02/09/2020,02/09/2021
Bananas,20,36.8813234,-0.66476,training,03/09/2020,03/09/2021
Maize,7,36.89178276,-0.685063136,training,04/09/2020,04/09/2021
Maize,7,36.89064628,-0.684245464,training,05/09/2020,05/09/2021
Tea,29,36.8910497,-0.6824282,training,06/09/2020,06/09/2021
Tea,29,36.8892232,-0.6812271,training,07/09/2020,07/09/2021
Maize,7,36.88806764,-0.681242429,training,08/09/2020,08/09/2021
Maize,7,36.8836478,-0.6818181,training,09/09/2020,09/09/2021
Tea,29,36.88308264,-0.682072218,training,10/09/2020,10/09/2021
Maize,7,36.8830074,-0.681828386,training,11/09/2020,11/09/2021
Maize,7,36.88247293,-0.681086071,training,12/09/2020,12/09/2021
Maize,7,36.8818384,-0.6790553,training,13/09/2020,13/09/2021
Tea,29,36.8799517,-0.6699985,training,14/09/2020,14/09/2021
Maize,7,36.9730373,-0.6879142,training,15/09/2020,15/09/2021
Maize,7,36.8787717,-0.6699118,training,16/09/2020,16/09/2021
Maize,7,36.977614,-0.6892637,training,17/09/2020,17/09/2021
Maize,7,36.9776567,-0.6891918,training,18/09/2020,18/09/2021
Coffee,18,36.9780088,-0.6882473,training,19/09/2020,19/09/2021
Beans,12,36.9781487,-0.6868339,training,20/09/2020,20/09/2021
Maize,7,36.8818619,-0.6644655,training,21/09/2020,21/09/2021
Maize,7,36.88302981,-0.664067393,training,22/09/2020,22/09/2021
Maize,7,36.8873192,-0.664422904,training,23/09/2020,23/09/2021
Maize,7,36.88781122,-0.664133432,training,24/09/2020,24/09/2021
Maize,7,36.88889357,-0.663218991,training,25/09/2020,25/09/2021
Maize,7,36.9703522,-0.6838812,training,26/09/2020,26/09/2021
Maize,7,36.9735797,-0.6811403,training,27/09/2020,27/09/2021
Maize,7,36.9735876,-0.6811401,training,28/09/2020,28/09/2021
Potatoes,15,36.9766577,-0.6804192,training,29/09/2020,29/09/2021
Beans,12,36.979003,-0.6807033,training,30/09/2020,30/09/2021
Beans,12,36.979708,-0.6807422,training,01/10/2020,01/10/2021
Maize,7,36.9807973,-0.6806427,training,02/10/2020,02/10/2021
Maize,7,36.9807435,-0.6806406,training,03/10/2020,03/10/2021
Beans,12,36.9816611,-0.6804922,training,04/10/2020,04/10/2021
Maize,7,36.9818612,-0.6804379,training,05/10/2020,05/10/2021
Tea,29,36.86812975,-0.688593746,training,06/10/2020,06/10/2021
Beans,12,36.9836812,-0.6796445,training,07/10/2020,07/10/2021
Maize,7,36.9836812,-0.6796445,training,08/10/2020,08/10/2021
Beans,12,36.9858787,-0.680522,training,09/10/2020,09/10/2021
Maize,7,36.8532968,-0.6912611,training,10/10/2020,10/10/2021
Maize,7,36.9869535,-0.6813162,training,11/10/2020,11/10/2021
Maize,7,36.9869731,-0.6812879,training,12/10/2020,12/10/2021
Maize,7,36.9873709,-0.6819982,training,13/10/2020,13/10/2021
Maize,7,36.9882685,-0.68247,training,14/10/2020,14/10/2021
Beans,12,36.9883656,-0.682367,training,15/10/2020,15/10/2021
Tea,29,36.84970622,-0.68843622,training,16/10/2020,16/10/2021
Cassava,22,36.9892003,-0.6825804,training,17/10/2020,17/10/2021
Beans,12,36.9883857,-0.6823633,training,18/10/2020,18/10/2021
Beans,12,36.9884138,-0.6823875,training,19/10/2020,19/10/2021
Maize,7,36.9884102,-0.6823557,training,20/10/2020,20/10/2021
Beans,12,36.9901109,-0.682807348,training,21/10/2020,21/10/2021
Beans,12,36.990354,-0.682696094,training,22/10/2020,22/10/2021
Maize,7,36.99030609,-0.682572772,training,23/10/2020,23/10/2021
Tea,29,36.84775941,-0.687284314,training,24/10/2020,24/10/2021
Potatoes,15,36.9911447,-0.6827654,training,25/10/2020,25/10/2021
Maize,7,36.9935157,-0.6841025,training,26/10/2020,26/10/2021
Maize,7,36.83704797,-0.68190712,training,27/10/2020,27/10/2021
Beans,12,36.994977,-0.684083,training,28/10/2020,28/10/2021
Tea,29,36.83508939,-0.679512571,training,29/10/2020,29/10/2021
Coffee,18,36.9955245,-0.6839898,training,30/10/2020,30/10/2021
Tea,29,36.82914857,-0.68019158,training,31/10/2020,31/10/2021
Coffee,18,37.09069373,-0.685756955,training,01/11/2020,01/11/2021
Tea,29,36.83129717,-0.683188211,training,02/11/2020,02/11/2021
Maize,7,36.9902327,-0.6843285,training,03/11/2020,03/11/2021
Maize,7,36.9902297,-0.6843293,training,04/11/2020,04/11/2021
Tea,29,36.8355712,-0.6895214,training,05/11/2020,05/11/2021
Maize,7,36.9902297,-0.6843293,training,06/11/2020,06/11/2021
Maize,7,36.99658196,-0.681025798,training,07/11/2020,07/11/2021
Maize,7,36.99995026,-0.683522942,training,08/11/2020,08/11/2021
Maize,7,36.83194208,-0.694516031,training,09/11/2020,09/11/2021
Maize,7,36.99018293,-0.686956225,training,10/11/2020,10/11/2021
Beans,12,36.9904521,-0.688970857,training,11/11/2020,11/11/2021
Maize,7,36.99421654,-0.691031461,training,12/11/2020,12/11/2021
Tea,29,36.837841,-0.694171277,training,13/11/2020,13/11/2021
Yams,30,37.00242612,-0.696361551,training,14/11/2020,14/11/2021
Tea,29,36.8454473,-0.6956282,training,15/11/2020,15/11/2021
Tea,29,36.85427055,-0.690496985,training,16/11/2020,16/11/2021
Maize,7,36.99000657,-0.689436686,training,17/11/2020,17/11/2021
Maize,7,36.98866716,-0.688966037,training,18/11/2020,18/11/2021
Maize,7,36.86006645,-0.692974775,training,19/11/2020,19/11/2021
Maize,7,36.9836588,-0.6890095,training,20/11/2020,20/11/2021
Tea,29,36.86742561,-0.698243232,training,21/11/2020,21/11/2021
Maize,7,36.9666398,-0.6868114,training,22/11/2020,22/11/2021
Tea,29,36.88587755,-0.692979878,training,23/11/2020,23/11/2021
Maize,7,36.9651113,-0.6974479,training,24/11/2020,24/11/2021
Yams,30,36.9651181,-0.6974429,training,25/11/2020,25/11/2021
Kunde,31,37.1831762,-0.7131178,training,26/11/2020,26/11/2021
Maize,7,37.1831762,-0.7131178,training,27/11/2020,27/11/2021
Yams,30,36.9651266,-0.6974132,training,28/11/2020,28/11/2021
Maize,7,37.1834116,-0.7122649,training,29/11/2020,29/11/2021
Kales,28,36.965152,-0.6973981,training,30/11/2020,30/11/2021
Maize,7,36.96549715,-0.697023286,training,01/12/2020,01/12/2021
Rice,32,37.18411101,-0.698079972,training,02/12/2020,02/12/2021
Rice,32,37.18504199,-0.698276887,training,03/12/2020,03/12/2021
Rice,32,37.18725843,-0.688869041,training,04/12/2020,04/12/2021
Rice,32,37.18860858,-0.676180046,training,05/12/2020,05/12/2021
Rice,32,37.18884753,-0.676653057,training,06/12/2020,06/12/2021
Maize,7,37.18978844,-0.684194692,training,07/12/2020,07/12/2021
Mango,11,37.1925887,-0.6729237,training,08/12/2020,08/12/2021
Maize,7,37.20080833,-0.666545083,training,09/12/2020,09/12/2021
Maize,7,37.20021289,-0.667191225,training,10/12/2020,10/12/2021
Mango,11,37.21991607,-0.683494807,training,11/12/2020,11/12/2021
Maize,7,37.21694528,-0.689207461,training,12/12/2020,12/12/2021
Rice,32,37.2167346,-0.6890882,training,13/12/2020,13/12/2021
Maize,7,37.20663922,-0.681259052,training,14/12/2020,14/12/2021
Maize,7,37.19952999,-0.667418272,training,15/12/2020,15/12/2021
Mango,11,37.2204472,-0.68381,training,16/12/2020,16/12/2021
Maize,7,37.22008591,-0.683632493,training,17/12/2020,17/12/2021
Maize,7,37.2308889,-0.6750587,training,18/12/2020,18/12/2021
Maize,7,37.2307707,-0.6748096,training,19/12/2020,19/12/2021
Beans,12,37.2305527,-0.6748611,training,20/12/2020,20/12/2021
Maize,7,37.2306502,-0.6751873,training,21/12/2020,21/12/2021
Rice,32,37.23527965,-0.675435249,training,22/12/2020,22/12/2021
Rice,32,37.2353976,-0.6753665,training,23/12/2020,23/12/2021
Beans,12,37.23186611,-0.674991233,training,24/12/2020,24/12/2021
Rice,32,37.17816958,-0.683731721,training,25/12/2020,25/12/2021
Maize,7,37.1705286,-0.6652919,training,26/12/2020,26/12/2021
Maize,7,37.2091025,-0.761158657,training,27/12/2020,27/12/2021
Maize,7,37.21721221,-0.743632347,training,28/12/2020,28/12/2021
Maize,7,37.21792111,-0.755283231,training,29/12/2020,29/12/2021
Maize,7,37.21403404,-0.743863156,training,30/12/2020,30/12/2021
Maize,7,37.1952563,-0.7454165,training,31/12/2020,31/12/2021
Maize,7,37.23793902,-0.74506722,training,01/01/2021,01/01/2022
Maize,7,37.21765693,-0.754437819,training,02/01/2021,02/01/2022
Avocado,8,37.2240746,-0.7659629,training,03/01/2021,03/01/2022
Maize,7,37.21751121,-0.7543723,training,04/01/2021,04/01/2022
Maize,7,37.22336365,-0.755543636,training,05/01/2021,05/01/2022
Beans,12,37.18679446,-0.743295045,training,06/01/2021,06/01/2022
Maize,7,37.18901304,-0.744664157,training,07/01/2021,07/01/2022
Maize,7,37.2453976,-0.747278,training,08/01/2021,08/01/2022
Maize,7,37.20525835,-0.74429049,training,09/01/2021,09/01/2022
Maize,7,37.24673533,-0.736480365,training,10/01/2021,10/01/2022
Maize,7,37.2252053,-0.759043,training,11/01/2021,11/01/2022
Maize,7,37.20891982,-0.744027302,training,12/01/2021,12/01/2022
Maize,7,37.20665712,-0.753201591,training,13/01/2021,13/01/2022
Maize,7,37.20489201,-0.752546469,training,14/01/2021,14/01/2022
Maize,7,37.17595933,-0.744178,training,15/01/2021,15/01/2022
Maize,7,37.1891642,-0.742472,training,16/01/2021,16/01/2022
Mango,11,37.2272167,-0.761654406,training,17/01/2021,17/01/2022
Mango,11,37.22525953,-0.766506511,training,18/01/2021,18/01/2022
Beans,12,37.2244325,-0.7603432,training,19/01/2021,19/01/2022
Beans,12,37.21239282,-0.75338283,training,20/01/2021,20/01/2022
Mango,11,37.1948962,-0.7476428,training,21/01/2021,21/01/2022
Maize,7,37.20241253,-0.741878802,training,22/01/2021,22/01/2022
Maize,7,37.21320872,-0.744144507,training,23/01/2021,23/01/2022
Maize,7,37.206584,-0.7523143,training,24/01/2021,24/01/2022
Maize,7,37.2410826,-0.7207674,training,25/01/2021,25/01/2022
Maize,7,37.23824483,-0.744685878,training,26/01/2021,26/01/2022
Maize,7,37.20748373,-0.756198852,training,27/01/2021,27/01/2022
Maize,7,37.2199239,-0.7645054,training,28/01/2021,28/01/2022
Maize,7,37.22154457,-0.765457353,training,29/01/2021,29/01/2022
Maize,7,37.1947113,-0.7461134,training,30/01/2021,30/01/2022
